day	hour	value
2003	1	0.0
2003	2	0.0
2003	3	0.0
2003	4	0.0
2003	5	0.0
2003	6	0.0
2003	7	0.0
2003	8	0.0
2003	9	0.0
2003	10	0.0
2003	11	0.0
2003	12	0.0
2004	1	0.0
2004	2	0.0
2004	3	0.0
2004	4	0.0
2004	5	0.0
2004	6	0.0
2004	7	0.0
2004	8	0.0
2004	9	0.0
2004	10	0.0
2004	11	0.0
2004	12	0.0
2005	1	0.0
2005	2	0.0
2005	3	0.0
2005	4	0.0
2005	5	0.0
2005	6	0.0
2005	7	0.0
2005	8	0.0
2005	9	0.0
2005	10	0.0
2005	11	0.0
2005	12	0.0
2006	1	0.0
2006	2	0.0
2006	3	0.0
2006	4	0.0
2006	5	0.0
2006	6	0.0
2006	7	0.0
2006	8	0.0
2006	9	0.0
2006	10	0.0
2006	11	0.0
2006	12	0.0
2007	1	0.5861
2007	2	0.4198
2007	3	0.4198
2007	4	0.5084
2007	5	0.5084
2007	6	0.6065
2007	7	0.6065
2007	8	0.845
2007	9	0.845
2007	10	1.0849
2007	11	1.0849
2007	12	0.3762
2008	1	0.3762
2008	2	0.413
2008	3	0.413
2008	4	0.2017
2008	5	0.2017
2008	6	0.5656
2008	7	0.5656
2008	8	0.9663
2008	9	0.9663
2008	10	0.8068
2008	11	0.4534
2008	12	0.5602
2009	1	0.5602
2009	2	0.398
2009	3	0.398
2009	4	0.4729
2009	5	0.4729
2009	6	0.5629
2009	7	0.5629
2009	8	0.7891
2009	9	0.7891
2009	10	0.9486
2009	11	0.9486
2009	12	0.4402
2010	1	0.4402
2010	2	0.3748
2010	3	0.3748
2010	4	0.3435
2010	5	0.3435
2010	6	0.4429
2010	7	0.4429
2010	8	0.7646
2010	9	0.7646
2010	10	1.0208
2010	11	1.0208
2010	12	0.5547
2011	1	0.5547
2011	2	0.3993
2011	3	0.3993
2011	4	0.3176
2011	5	0.3176
2011	6	0.3816
2011	7	0.3816
2011	8	0.5397
2011	9	0.5424
2011	10	0.8614
2011	11	0.8614
2011	12	0.5724
2012	1	0.5724
2012	2	0.3067
2012	3	0.3067
2012	4	0.3271
2012	5	0.3271
2012	6	0.4225
2012	7	0.4225
2012	8	0.7005
2012	9	0.7005
2012	10	0.9022
2012	11	0.9022
2012	12	0.4389
2013	1	0.4389
2013	2	0.3162
2013	3	0.3162
2013	4	0.345
2013	5	0.345
2013	6	0.383
2013	7	0.383
2013	8	0.7142
2013	9	0.7142
2013	10	1.0058
2013	11	1.0058
2013	12	0.3625
2014	1	0.3625
2014	2	0.2848
2014	3	0.2848
2014	4	0.293
2014	5	0.293
2014	6	0.4593
2014	7	0.4593
2014	8	0.8791
2014	9	0.8791
2014	10	0.9445
2014	11	0.9445
2014	12	0.6855
2015	1	0.6855
2015	2	0.706
2015	3	0.706
2015	4	0.8832
2015	5	0.8832
2015	6	0.9172
2015	7	0.9172
2015	8	1.1121
2015	9	1.1121
2015	10	1.1925
2015	11	1.1925
2015	12	0.5738
2016	1	0.5738
2016	2	0.5929
2016	3	0.5929
2016	4	0.8832
2016	5	0.8832
2016	6	0.0
2016	7	0.0
2016	8	0.0
2016	9	0.0
2016	10	0.0
2016	11	0.0
2016	12	0.0
