index	day	hour	value
0	2003	1	0.0
1	2003	2	0.0
2	2003	3	0.0
3	2003	4	0.0
4	2003	5	0.0
5	2003	6	0.0
6	2003	7	0.0
7	2003	8	0.0
8	2003	9	0.0
9	2003	10	0.0
10	2003	11	0.0
11	2003	12	0.0
12	2004	1	0.0
13	2004	2	0.0
14	2004	3	0.0
15	2004	4	0.0
16	2004	5	0.0
17	2004	6	0.0
18	2004	7	0.0
19	2004	8	0.0
20	2004	9	0.0
21	2004	10	0.0
22	2004	11	0.0
23	2004	12	0.0
24	2005	1	0.0
25	2005	2	0.0
26	2005	3	0.0
27	2005	4	0.0
28	2005	5	0.0
29	2005	6	0.0
30	2005	7	0.0
31	2005	8	0.0
32	2005	9	0.0
33	2005	10	0.0
34	2005	11	0.0
35	2005	12	0.0
36	2006	1	0.0
37	2006	2	0.0
38	2006	3	0.0
39	2006	4	0.0
40	2006	5	0.0
41	2006	6	0.0
42	2006	7	0.0
43	2006	8	0.0
44	2006	9	0.0
45	2006	10	0.0
46	2006	11	0.0
47	2006	12	0.0
48	2007	1	0.5861
49	2007	2	0.4198
50	2007	3	0.4198
51	2007	4	0.5084
52	2007	5	0.5084
53	2007	6	0.6065
54	2007	7	0.6065
55	2007	8	0.845
56	2007	9	0.845
57	2007	10	1.0849
58	2007	11	1.0849
59	2007	12	0.3762
60	2008	1	0.3762
61	2008	2	0.413
62	2008	3	0.413
63	2008	4	0.2017
64	2008	5	0.2017
65	2008	6	0.5656
66	2008	7	0.5656
67	2008	8	0.9663
68	2008	9	0.9663
69	2008	10	0.8068
70	2008	11	0.4534
71	2008	12	0.5602
72	2009	1	0.5602
73	2009	2	0.398
74	2009	3	0.398
75	2009	4	0.4729
76	2009	5	0.4729
77	2009	6	0.5629
78	2009	7	0.5629
79	2009	8	0.7891
80	2009	9	0.7891
81	2009	10	0.9486
82	2009	11	0.9486
83	2009	12	0.4402
84	2010	1	0.4402
85	2010	2	0.3748
86	2010	3	0.3748
87	2010	4	0.3435
88	2010	5	0.3435
89	2010	6	0.4429
90	2010	7	0.4429
91	2010	8	0.7646
92	2010	9	0.7646
93	2010	10	1.0208
94	2010	11	1.0208
95	2010	12	0.5547
96	2011	1	0.5547
97	2011	2	0.3993
98	2011	3	0.3993
99	2011	4	0.3176
100	2011	5	0.3176
101	2011	6	0.3816
102	2011	7	0.3816
103	2011	8	0.5397
104	2011	9	0.5424
105	2011	10	0.8614
106	2011	11	0.8614
107	2011	12	0.5724
108	2012	1	0.5724
109	2012	2	0.3067
110	2012	3	0.3067
111	2012	4	0.3271
112	2012	5	0.3271
113	2012	6	0.4225
114	2012	7	0.4225
115	2012	8	0.7005
116	2012	9	0.7005
117	2012	10	0.9022
118	2012	11	0.9022
119	2012	12	0.4389
120	2013	1	0.4389
121	2013	2	0.3162
122	2013	3	0.3162
123	2013	4	0.345
124	2013	5	0.345
125	2013	6	0.383
126	2013	7	0.383
127	2013	8	0.7142
128	2013	9	0.7142
129	2013	10	1.0058
130	2013	11	1.0058
131	2013	12	0.3625
132	2014	1	0.3625
133	2014	2	0.2848
134	2014	3	0.2848
135	2014	4	0.293
136	2014	5	0.293
137	2014	6	0.4593
138	2014	7	0.4593
139	2014	8	0.8791
140	2014	9	0.8791
141	2014	10	0.9445
142	2014	11	0.9445
143	2014	12	0.6855
144	2015	1	0.6855
145	2015	2	0.706
146	2015	3	0.706
147	2015	4	0.8832
148	2015	5	0.8832
149	2015	6	0.9172
150	2015	7	0.9172
151	2015	8	1.1121
152	2015	9	1.1121
153	2015	10	1.1925
154	2015	11	1.1925
155	2015	12	0.5738
156	2016	1	0.5738
157	2016	2	0.5929
158	2016	3	0.5929
159	2016	4	0.8832
160	2016	5	0.8832
161	2016	6	0.0
162	2016	7	0.0
163	2016	8	0.0
164	2016	9	0.0
165	2016	10	0.0
166	2016	11	0.0
167	2016	12	0.0
