"Region No.","State","Service Center","Fiscal Month","Fiscal Year","Building Number","Area Field Office","Cat","Building Designation","Gross Sq.Ft","Electricity (KWH)","Electricity (Cost)","Demand (KW)","Demand (Cost)","Steam (Thou. lbs)","Steam (Cost)","Gas (Cubic Ft)","Gas (Cost)","Oil (Gallon)","Oil (Cost)","Chilled Water (Ton Hr)","Chilled Water (Cost)","Renewable Electricity (KWH)","Renewable Electricity (Cost)","Renewable Gas (Cubic Ft)","Renewable Gas (Cost)","Other (mmBTU)","Other (Cost)","Water (Gallon)","Water (Cost)"
"1.0","Connecticut","SOUTH PROPERTY CTR","1.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","102912.0","18789.0","275.0","4907.0","0.0","0.0","38700.0","604.0","879.0","1934.0","0.0","0.0","75642.0","0.0","0.0","0.0","0.0","0.0","38148.0","428.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","2.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","110710.0","19723.0","255.0","5643.0","0.0","0.0","82900.0","1645.0","1830.0","4026.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27676.0","360.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","3.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","110715.0","20210.0","255.0","4827.0","0.0","0.0","20900.0","281.0","4678.0","10292.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41888.0","452.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","4.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","115515.0","19020.0","257.0","4823.0","0.0","0.0","261300.0","5306.0","3113.0","6849.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41888.0","479.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","5.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","116712.0","30667.0","258.0","4836.0","0.0","0.0","665000.0","13979.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34408.0","427.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","6.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","111312.0","21667.0","472.0","7266.0","0.0","0.0","313000.0","6101.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","64328.0","637.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","7.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","107112.0","20685.0","403.0","6703.0","0.0","0.0","12600.0","314.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","51612.0","547.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","8.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","141612.0","26373.0","555.0","7997.0","0.0","0.0","6200.0","224.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","62084.0","621.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","9.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","160213.0","29405.0","627.0","8831.0","0.0","0.0","10800.0","280.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","111452.0","967.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","10.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","160210.0","28874.0","568.0","8460.0","0.0","0.0","4400.0","194.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","116688.0","1004.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","11.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","158116.0","28020.0","489.0","7783.0","0.0","0.0","6800.0","233.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","98736.0","878.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","12.0","2010.0","CT0013ZZ","5300.0","A","G, X","191445.0","117613.0","22316.0","421.0","7205.0","0.0","0.0","7600.0","260.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","148852.0","1230.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","1.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","61920.0","11014.0","175.0","377.0","0.0","0.0","175400.0","2037.0","75.0","158.0","0.0","0.0","42936.0","0.0","0.0","0.0","0.0","0.0","146608.0","1115.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","2.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","66960.0","11818.0","163.0","353.0","0.0","0.0","217100.0","2596.0","75.0","158.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","147356.0","1115.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","3.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","63600.0","11324.0","171.0","426.0","0.0","0.0","661400.0","6198.0","80.0","168.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","146608.0","899.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","4.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","63120.0","11488.0","161.0","584.0","0.0","0.0","618300.0","6327.0","75.0","158.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","145860.0","1209.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","5.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","68400.0","12340.0","162.0","588.0","0.0","0.0","612900.0","6286.0","70.0","147.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","146608.0","899.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","6.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","66000.0","12304.0","245.0","888.0","0.0","0.0","351800.0","4391.0","45.0","95.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88264.0","733.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","7.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","62640.0","10879.0","236.0","856.0","0.0","0.0","63100.0","1388.0","35.0","74.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","87516.0","790.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","8.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","66000.0","12597.0","233.0","849.0","0.0","0.0","22000.0","884.0","30.0","63.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","88264.0","790.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","9.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","84240.0","16511.0","314.0","1141.0","0.0","0.0","4300.0","697.0","30.0","81.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","263545.0","1438.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","10.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","98160.0","19050.0","296.0","1076.0","0.0","0.0","3300.0","682.0","30.0","81.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","263545.0","1734.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","11.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","89040.0","17318.0","285.0","1035.0","0.0","0.0","2800.0","667.0","25.0","68.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","263546.0","1388.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","12.0","2010.0","CT0024ZZ","5300.0","A","G, X","117000.0","68640.0","13188.0","200.0","899.0","0.0","0.0","3200.0","678.0","30.0","81.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","158326.0","1142.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","1.0","2010.0","CT0053ZZ","5300.0","A","W","391646.0","228480.0","38927.0","706.0","8269.0","655.0","21480.0","15500.0","213.0","0.0","0.0","16896.0","13854.0","150245.0","0.0","0.0","0.0","0.0","0.0","121924.0","963.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","2.0","2010.0","CT0053ZZ","5300.0","A","W","391646.0","275520.0","44770.0","716.0","10608.0","774.0","24729.0","59100.0","604.0","0.0","0.0","5760.0","7368.0","0.0","0.0","0.0","0.0","0.0","0.0","81532.0","701.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","3.0","2010.0","CT0053ZZ","5300.0","A","W","391646.0","216000.0","37327.0","742.0","10439.0","1224.0","36652.0","16600.0","254.0","0.0","0.0","3168.0","5858.0","0.0","0.0","0.0","0.0","0.0","0.0","121924.0","963.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","4.0","2010.0","CT0053ZZ","5300.0","A","W","391646.0","284160.0","46124.0","715.0","10219.0","1461.0","57929.0","13200.0","216.0","0.0","0.0","1752.0","5143.0","0.0","0.0","0.0","0.0","0.0","0.0","83028.0","760.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","5.0","2010.0","CT0053ZZ","5300.0","A","W","391646.0","140160.0","36826.0","699.0","10087.0","1079.0","45422.0","18400.0","279.0","0.0","0.0","1512.0","5016.0","0.0","0.0","0.0","0.0","0.0","0.0","126412.0","1064.0"
