"Region No.","State","Service Center","Fiscal Month","Fiscal Year","Building Number","Area Field Office","Cat","Building Designation","Gross Sq.Ft","Electricity (KWH)","Electricity (Cost)","Demand (KW)","Demand (Cost)","Steam (Thou. lbs)","Steam (Cost)","Gas (Cubic Ft)","Gas (Cost)","Oil (Gallon)","Oil (Cost)","Chilled Water (Ton Hr)","Chilled Water (Cost)","Renewable Electricity (KWH)","Renewable Electricity (Cost)","Renewable Gas (Cubic Ft)","Renewable Gas (Cost)","Other (mmBTU)","Other (Cost)","Water (Gallon)","Water (Cost)"
"10.0","Alaska","NW SC","1.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","803600.0","49983.0","0.0","0.0","0.0","0.0","1859000.0","11153.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","360000.0","2209.0"
"10.0","Alaska","NW SC","2.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","532400.0","39802.0","0.0","0.0","0.0","0.0","4890000.0","30774.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","290000.0","1820.0"
"10.0","Alaska","NW SC","3.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","742000.0","49562.0","0.0","0.0","0.0","0.0","3551000.0","22365.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","240000.0","1568.0"
"10.0","Alaska","NW SC","4.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","682400.0","47174.0","0.0","0.0","0.0","0.0","5352000.0","44573.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","320000.0","2160.0"
"10.0","Alaska","NW SC","5.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","730000.0","49084.0","0.0","0.0","0.0","0.0","3451000.0","28764.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","290000.0","1968.0"
"10.0","Alaska","NW SC","6.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","640400.0","45225.0","0.0","0.0","0.0","0.0","5178000.0","43126.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","320000.0","2160.0"
"10.0","Alaska","NW SC","7.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","683200.0","46925.0","0.0","0.0","0.0","0.0","2213000.0","18468.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","320000.0","2160.0"
"10.0","Alaska","NW SC","8.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","726400.0","48180.0","0.0","0.0","0.0","0.0","1701000.0","14210.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","570000.0","3337.0"
"10.0","Alaska","NW SC","9.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","720800.0","54542.0","0.0","0.0","0.0","0.0","549000.0","4630.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","830000.0","4251.0"
"10.0","Alaska","NW SC","10.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","752000.0","55143.0","0.0","0.0","0.0","0.0","52000.0","497.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","760000.0","4040.0"
"10.0","Alaska","NW SC","11.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","682000.0","55709.0","0.0","0.0","0.0","0.0","59000.0","555.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","420000.0","2571.0"
"10.0","Alaska","NW SC","12.0","2007.0","AK0000AA","5115.0","A","W, X","727340.0","658800.0","49952.0","0.0","0.0","0.0","0.0","359000.0","3051.0","0.0","0.0","0.0","0.0","66667.0","8000.0","0.0","0.0","0.0","0.0","290000.0","1945.0"
"10.0","Alaska","NW SC","1.0","2007.0","AK0000AB","5115.0","I","","17927.0","19720.0","6856.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24109.0","0.0"
"10.0","Alaska","NW SC","2.0","2007.0","AK0000AB","5115.0","I","","17927.0","18840.0","6557.0","0.0","0.0","0.0","0.0","0.0","0.0","425.0","1231.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24109.0","0.0"
"10.0","Alaska","NW SC","3.0","2007.0","AK0000AB","5115.0","I","","17927.0","20200.0","6856.0","0.0","0.0","0.0","0.0","0.0","0.0","570.0","1614.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24109.0","0.0"
"10.0","Alaska","NW SC","4.0","2007.0","AK0000AB","5115.0","I","","17927.0","18880.0","6418.0","0.0","0.0","0.0","0.0","0.0","0.0","305.0","865.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24109.0","0.0"
